,Participant_id,Chain_id,Generation,group,Flip,code,Flip_bi,In_response,Out_response,In_correct_response,Out_correct_response,In_response_difference,Out_response_difference,rho,phi,In_grid,Out_grid
0,1101,1,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,59.66666666666667,52.77777777777778,57.0,40.0,2.6666666666666714,12.77777777777778,13.053073050028596,1.3650537153968607,5.0,4.0
1,1102,1,2,Add1_InOut_change_YesNo,0.0,Add1,0.0,58.11111111111112,52.44444444444445,60.0,53.0,-1.8888888888888784,-0.55555555555555,1.9688939051854717,-2.855541211872476,6.0,5.0
2,1103,1,3,Add1_InOut_change_YesNo,0.0,Add1,0.0,60.81481255425347,52.0370347764757,58.0,52.0,2.8148125542534714,0.0370347764756999,2.8150561788801935,0.013156343082166934,5.0,5.0
3,1104,1,4,Add1_InOut_change_YesNo,0.0,Add1,0.0,58.88888888888889,50.66666666666667,61.0,52.0,-2.111111111111107,-1.3333333333333286,2.496911672693798,-2.578276392097826,6.0,5.0
4,1105,1,5,Add1_InOut_change_YesNo,0.0,Add1,0.0,52.33333333333333,49.55555555555556,59.0,51.0,-6.666666666666671,-1.4444444444444429,6.821353545853706,-2.928224011437986,5.0,5.0
5,1106,1,6,Add1_InOut_change_YesNo,0.0,Add1,0.0,54.66666666666666,49.888888888888886,52.0,50.0,2.666666666666657,-0.1111111111111142,2.668980477658727,-0.041642579098589726,5.0,5.0
6,1107,1,7,Add1_InOut_change_YesNo,0.0,Add1,0.0,55.333333333333336,50.44444444444445,55.0,50.0,0.3333333333333357,0.4444444444444499,0.5555555555555614,0.9272952180016147,5.0,5.0
7,1108,1,8,Add1_InOut_change_YesNo,0.0,Add1,0.0,54.11111111111111,51.77777777777778,55.0,50.0,-0.8888888888888928,1.7777777777777786,1.9876159799998157,2.0344439357957045,5.0,5.0
8,1109,1,9,Add1_InOut_change_YesNo,0.0,Add1,0.0,53.0,52.44444444444445,54.0,52.0,-1.0,0.4444444444444499,1.0943175335329027,2.7233683240105595,5.0,5.0
9,1110,1,10,Add1_InOut_change_YesNo,0.0,Add1,0.0,51.66666666666667,51.44444444444445,53.0,52.0,-1.3333333333333286,-0.55555555555555,1.444444444444438,-2.746801533890034,5.0,5.0
10,1201,2,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,42.888888888888886,53.11111111111111,40.0,57.0,2.8888888888888857,-3.888888888888893,4.844495412575921,-0.9318823417910105,4.0,5.0
11,1202,2,2,Add1_InOut_change_YesNo,0.0,Add1,0.0,44.44444444444444,51.44444444444445,43.0,53.0,1.4444444444444429,-1.55555555555555,2.122774797171417,-0.8224182792713771,4.0,5.0
12,1203,2,3,Add1_InOut_change_YesNo,0.0,Add1,0.0,43.22222222222222,50.55555555555556,44.0,51.0,-0.7777777777777786,-0.4444444444444428,0.8958064164776165,-2.6224465393432723,4.0,5.0
13,1204,2,4,Add1_InOut_change_YesNo,0.0,Add1,0.0,44.888888888888886,51.33333333333333,43.0,51.0,1.8888888888888855,0.3333333333333286,1.9180751668480036,0.17467219900823758,4.0,5.0
14,1205,2,5,Add1_InOut_change_YesNo,1.0,Add1,1.0,53.11111111111111,46.0,45.0,51.0,8.111111111111107,-5.0,9.528385144230372,-0.5524189243203457,4.0,5.0
15,1206,2,6,Add1_InOut_change_YesNo,0.0,Add1,0.0,54.333333333333336,39.0,53.0,46.0,1.3333333333333357,-7.0,7.125852775477317,-1.3825748214901254,5.0,4.0
16,1207,2,7,Add1_InOut_change_YesNo,0.0,Add1,0.0,53.0,38.88888888888889,54.0,39.0,-1.0,-0.1111111111111071,1.0061539042374903,-3.0309354324159017,5.0,3.0
17,1208,2,8,Add1_InOut_change_YesNo,0.0,Add1,0.0,53.11111111111111,36.66666666666666,53.0,39.0,0.1111111111111071,-2.333333333333343,2.335977337958747,-1.5232132235179152,5.0,3.0
18,1209,2,9,Add1_InOut_change_YesNo,0.0,Add1,0.0,53.0,34.55555555555556,53.0,37.0,0.0,-2.444444444444443,2.444444444444443,-1.5707963267948966,5.0,3.0
19,1210,2,10,Add1_InOut_change_YesNo,0.0,Add1,0.0,53.55555555555556,25.222222222222225,53.0,35.0,0.5555555555555571,-9.777777777777777,9.793547888631247,-1.514039168972803,5.0,3.0
20,1301,3,1,Add1_InOut_change_YesNo,0.0,Add1,0.0,51.53691620123401,54.2035830487456,54.0,59.0,-2.463083798765993,-4.7964169512544,5.391882544160627,-2.04520592341021,5.0,5.0
21,1302,3,2,Add1_InOut_change_YesNo,0.0,Add1,0.0,55.66666666666666,57.88888888888889,52.0,54.0,3.666666666666657,3.888888888888893,5.344894875913638,0.8148014516014552,5.0,5.0
22,1303,3,3,Add1_InOut_change_YesNo,0.0,Add1,0.0,56.22222222222221,58.55555555555556,56.0,58.0,0.2222222222222072,0.5555555555555571,0.598351645237163,1.190289949682556,5.0,5.0
23,1304,3,4,Add1_InOut_change_YesNo,0.0,Add1,0.0,53.55555555555556,58.44444444444444,56.0,59.0,-2.444444444444443,-0.5555555555555571,2.5067809272618824,-2.9181160524491596,5.0,5.0
24,1305,3,5,Add1_InOut_change_YesNo,0.0,Add1,0.0,52.22222222222223,56.00000000000001,54.0,58.0,-1.7777777777777717,-1.999999999999993,2.6759099063982785,-2.2974386674766225,5.0,5.0
25,1306,3,6,Add1_InOut_change_YesNo,0.0,Add1,0.0,52.77777777777778,55.888888888888886,52.0,56.0,0.7777777777777786,-0.1111111111111142,0.7856742013183874,-0.14189705460416768,5.0,5.0
